Title,price
"L.A. Girl Pro Coverage Foundation - Porcelain,GLM643",
"Lakme- Absolute Argan Oil Serum Foundation, Rose Silk, 15ml",
Physicians Formula Murumuru Butter Bronzer -Deep Bronzer,"Rs.2,750.00"
Luscious Blush Remix Cheek Contour Palette Vol.1,"Rs.2,300.00"
"NYX Professional Makeup- High Definition Blush, 21 Intuition",
Smashbox- Photo Finish Pore Minimizing Foundation Primer Travel .25 oz,"Rs.1,400.00"
Maybelline New York- Master Glaze FaceStudio Bronzer Stick 101 Flushed Up 6.8g,
L'Oreal Paris- Revita Lift Ant Age Serum   Foundation 250 Sand 25ml,
"L'Oreal Paris- Infallible Stay Fresh 24 H Foundation - 220 Sand, 30 ml",
Wet N Wild Color Icon Blush-Fantastic Plastic Pink,
Maybelline New York- Master Blush - 40 Pink Amber,
Rimmel London- Foundation New Launch - Stay Matt True Beige  (034 203),
Neutrogena- Ultra-Soft Makeup Remover Wipes for Waterproof Makeup,
Max Factor- Miracle Match Liquid Foundation #30 Porcelain,"Rs.2,110.00"
"Bourjois- Lips - Contour Edition T04 Chaud comme la fraise,8161",
Max Factor- Skin Luminizer Miracle Foundation 35 Pearl Beige 30ml,"Rs.2,483.00"
Bourjois- Little Round Pot Blusher 72 Tomette,"Rs.1,281.60"
I Heart Makeup- Hearts Blusher Candy Queen of Hearts,
Rimmel London- Match Perfection Foundation - SAND 034-300,
"Kiko Milano- Sicilian Notes Highlighter Duo Compact Bronzer In Two Colors, Nourishing And Perfecting- 01 Gold Pantelleria","Rs.2,020.00"
"Maybelline New York- Fit Me Stick Foundation Foundation, Buff Beige 130",
"Maybelline New York- Dream Smooth Mousse Foundation - 260 Buff, 0.49 oz.",
L'Oreal Paris True Match Super Blendable Foundation C1 Alabaster 1.0 Ounces,
"NYX Professional Makeup- High Definition Blush, 10 Double Dare",Rs.509.00
L'Oreal Paris- Magic Smooth Souffle Blush 842 Cherubic 9 ml,
"L'Oreal Paris- True Match Super Blendable Foundation - N4 Buff Beige, 30 ml",
I Heart Makeup- Hearts Bronzer Summer of Love,
"L'Oréal Paris-Infallible Total Cover Cream Foundation, Classic Ivory 301",
"Lancome- Bi-Facial Double Action Eye Makeup Remover, 15 ml",
Maybelline New York- Super Stay 24Hr Makeup Foundation Caramel 30 ml,
Maybelline New York- Dream Nude Airfoam Foundation 250 Pure Beige 46g,
Maybelline New York- Dream Nude Air Foam Foundation 240 Natural Beige 46 g,
Maybelline New York- Dream Nude Airfoam Foundation 150 Classic Ivory 46g,
Maybelline New York- Dream Nude Airfoam Foundation 310 Honey Beige 46 g,
"NYX Professional Makeup- HD Studio Concealer Wand, 12 Green",
"Maybelline New York- Dream Velvet Foundation- 10 Ivory, 30 ml",
"NYX Professional Makeup- HD Studio Concealer Wand, 10 Yellow",
"NYX Professional Makeup- High Definition Blush, 11 Amber",
"Maybelline New York- Gigi Hadid Eye and Brow Contour Palette, Warm, 2.5g",
Maybelline New York- Master Glaze FaceStudio Bronzer Stick 104 Golden Thorn 6.8g,
"Maybelline New York- Master Camo Concealer Palette - 6 g, Light 1",
Maybelline New York- Dream Nude Airfoam Foundation 200 Creamy Natural 46g,
"Maybelline NewYork- New York Dream Wonder Fluid-Touch Foundation, Nude, 0.67 Fluid Ounce",
"NYX Professional Makeup- High Definition Blush, 14 Deep Plum",
The Body Shop- Camomile Makeup Removing Kit,"Rs.2,200.00"
Nyx Professional Makeup- Full Coverage Concealer Jar - 01 Porcelain,
Maybelline New York- Face Studio Blush 100 Peach pop,
NYX Professional Makeup- Full Coverage Concealer Jar - 03 Light,
NYX Professional Makeup Full Coverage Concealer Jar - 04 Beige,
"NYX Professional Makeup- Full Coverage Concealer Jar, 03.5 Nude Beige",
NYX Professional Makeup- Full Coverage Concealer Jar - 02 Fair,
NYX Professional Makeup- Full Coverage Concealer Jar - 05 Medium,
NYX Professional Makeup- High Definition Blush - 03 Coraline,
NYX Professional Makeup- High Definition Blush - 07 Tuscan,
NYX Professional Makeup- High Definition Blush - 05 Summer,
"L.A Girl- PRO. Contour Cream - Fair, GCC633",
"Bourjois- LIPS - Contour Edition T14 Sweet Brownie,8157",
"Bourjois- Khol & Contour XL - # 66 Noir Expert XL by Bourjois for Women,8426",
"Bourjois- Lips - Contour Edition T06 Tout rouge, 8163",
"Bourjois- Lips - Contour Edition T07 Cherry boom boom,8164",
"NYX Professional Makeup- HD Studio Photogenic Foundation, 104 Sand Beige",
"NYX Professional Makeup- Gotcha Covered Concealer Pencil, 09 Honey Beige",
"NYX Professional Makeup- HD Studio Photogenic Foundation, 102 Soft Beige",
Maybelline New York- Fit Me Stick Foundation Foundation - Sun Beige 250,
"Maybelline New York- Instant Age Rewind The Lifter Makeup Foundation with Peptides - 30 ml, Creamy Beige 290",
NYX Professional Makeup- HD Studio Photogenic Foundation - 101.5 Warm Ivory,
"NYX Professional Makeup- HD Studio Concealer Wand, 11 Lavender",
Lancome- Bi-Facil Instant Makeup Remover Duo,"Rs.4,869.00"
Wet N Wild- Photo Focus Stick Foundation- Classic Beige,
"Maybelline New York- Instant Age Rewind The Lifter Makeup Foundation with Peptides - 30 ml, Buff Beige 130",
Wet N Wild Color Icon Blush-Blazen Berry,Rs.693.00
NYX Professional Makeup- High Definition Blush - 08 Baby Doll,
Sleek- Solstice Highlighting Palette,"Rs.1,999.00"
Makeup Forever- Ultra HD Microfinishing Loose Powder Setting Primer NEW 1g,Rs.750.00
"Maybelline New York- Fit Me Eye Concealer - 0.23 oz., 15 Fair","Rs.1,049.25"
Maybelline NewYork- Super Stay 24H full coverage Foundation 48 Sun Beige 30ml,
"Wet N Wild- Photo Focus Stick Foundation, Alabaster",
Maybelline New York- Fit Me Anti-Shine Foundation Stick 315 Soft Honey 9ml,
Maybelline New York- Dream Satin Liquid Foundation - 04 Light Porcelain,
"L.A Girl- Pro Conceal HD Concealer- Cool Pink, GC965",Rs.867.00
Mac- Studio Fix Powder Plus Face Foundation - NC20,
"Maybelline New York- Super Stay Better Skin Flawless Finish Foundation - 30 ml, 020 Cameo",
Maybelline New York- Fit Me Concealer 35 Deep,
Maybelline NewYork- New York Fit Me Foundation 130 Buff Beige,
Revlon- Normal Skin Foundation Ivory 110,
"Maybelline New York- Dream Matte Mousse Foundation- 030 Sand, 18 ml",
Revlon- Blush Brush Premium Quality,
Maybelline New York- Dream Satin Liquid Foundation - 10 Ivory,
"Max Factor- Pan Stik Foundation, 097 Cool Bronze",Rs.799.20
Maybelline New York- Face Studio Master Blush - 60 Cosmopolitan,
NYX Professional Makeup- HD Studio Photogenic Foundation - 104.7 Warm Beige,
Maybelline New York- Color Contour Lip Pallete 02 - 5 g,
