Title,price
"L’Oreal Paris- Visible Lift Blur Concealer - 0.6oz, 302 Light",
NARS- All Day Luminous Weightless Foundation Ceylan ( 30ml ),"Rs.6,999.00"
Charlotte Tilbury- Airbrush Flawless Foundation 1 Cool ( 30ml ),"Rs.7,999.00"
Charlotte Tilbury- 1 Magic Foundation( 30ml ),"Rs.7,999.00"
Charlotte Tilbury- 3.5 Magic Foundation( 30ml ),"Rs.7,499.00"
Charlotte Tilbury- 4-Fair Light Wonder( 40ml ),"Rs.7,999.00"
"Bourjois- Face Blush 92 Santal,8412",
Charlotte Tilbury- 4.5-Fair Light Wonder( 40ml ),"Rs.7,999.00"
Charlotte Tilbury- 7. Dark Hollywood Flawless Filter( 30ml ),"Rs.7,999.00"
The Ordinary- 2.0 P Light Medium Serum Foundation 30ml,"Rs.1,780.00"
Makeup Revolution- Matte Base Foundation F12,
Primark- Perfect Finish Foundation Light Beige,"Rs.1,399.00"
"L.A. Girl Pro Coverage Foundation - Nude Beige,GLM645",
Rimmel London- Match Perfection Foundation - BRONZE 034-402,
Huda Beauty- Cocoa 510R #FauxFilter Foundation( 35ml ),"Rs.6,799.00"
Huda Beauty- Nutmeg 520G #FauxFilter Foundation( 35ml ),"Rs.6,799.00"
Huda Beauty- Hot Fudge 550R #FauxFilter Foundation( 35ml ),"Rs.6,799.00"
Huda Beauty- Mocha 500G #FauxFilter Foundation( 35ml ),"Rs.6,799.00"
Huda Beauty- Coffee Bean 530R #FauxFilter Foundation( 35ml ),"Rs.6,799.00"
Huda Beauty- Chocolate Truffle 540G #FauxFilter Foundation( 35ml ),"Rs.6,799.00"
NARS- Sheer Glow Foundation Yukon ( 30ml ),"Rs.6,399.00"
NARS- Sheer Glow Foundation Oslo ( 30ml ),"Rs.6,399.00"
Charlotte Tilbury- 3 Magic Foundation( 30ml ),"Rs.7,999.00"
Charlotte Tilbury- 0.0 Magic Foundation( 30ml ),"Rs.7,999.00"
"Charlotte Tilbury-10 Tan, Golden Tan For Deep Skin with Warm Undertones Magic Away Concealer","Rs.6,499.00"
Charlotte Tilbury- 6. Dark Tan Hollywood Flawless Filter( 30ml ),"Rs.7,999.00"
"L'Oreal Paris- True Match Liquid Foundation, 2n Vanilla",
"Bourjois- Eyes - Khol & Contour Noir Expert,8047",Rs.800.00
Charlotte Tilbury- 1.5-Fair Light Wonder( 40ml ),"Rs.7,999.00"
Rimmel London- Stay Matte Foundation- Ivory 034-100,"Rs.1,615.00"
Rimmel London- Match Perfection Foundation - IVORY 034-100,"Rs.1,840.00"
"Maybelline New York- Face Studio Master Chrome Metallic Highlighter, 100 Molten Gold",
L'Oreal Paris- Glow Mon Amour Highlighting Drops - 01 Champagne,"Rs.2,174.25"
"Wet n Wild- Photo Focus Concealer - Light/Med Beige, E841B",
Urban Decay- Naked Cherry Highlight and Blush Palette,"Rs.4,500.00"
"Maybelline New York- Fit Me Matte Poreless Liquid Foundation, 120 Classic Ivory, 30ml",Rs.899.44
"Maybelline New York- Fit Me Eye Concealer - 0.23 oz., 20 Sand",Rs.590.21
"Wet n Wild- Photo Focus Liquid Foundation, Rose Ivory",
L.A Girl- Pro Conceal HD Concealer Expresso 985,
"Kiko Milano- Pure Clean Eyes & Lips Mini Travel-Size Two-Phase Makeup Remover For Eyes And Lips, 50ml","Rs.1,212.00"
"Wet n Wild- Photo Focus Liquid Foundation, Soft Ivory","Rs.1,280.00"
"The Ordinary- Serum Foundation- 2.1 P Medium, 30 ml","Rs.1,780.00"
L.A Girl- Pro Conceal HD Concealer Almond GC979,
"The Ordinary- Coverage Foundation 30ml, 1.0 N Very Fair","Rs.1,825.00"
"NYX Professional Makeup- Stay Matte but Not Flat Liquid Foundation, 10 Caramel",
Maybelline New York- Instant Age Rewind Eraser - Dark Cicles Concealer   Treatment - 120 Light,"Rs.1,274.25"
Maybelline New York-  Instant Age Rewind Eraser - Dark Cicles Concealer   Treatment - 130 Medium,"Rs.1,274.25"
"L.A. Girl HD Pro.Conceal -Medium Beige,GC978",Rs.867.00
NYX Professional Makeup- Be Gone Makeup Remover Wipes - 01,Rs.587.40
NYX Professional Makeup- Stay Matte but Not Flat Liquid Foundation - 13 Cinnamon Spice,"Rs.1,012.80"
Maybelline New York- Instant Age Rewind Eraser - Dark Cicles Concealer   Treatment - 140 Honey,"Rs.1,275.00"
"Wet n Wild- Photo Focus Liquid Foundation, Soft Beige,365C","Rs.1,280.00"
L.A Girl Pro Conceal HD Concealer Pure Beige GC976,Rs.920.00
"L.A. Girl HD Pro.Conceal Light Ivory,GC970",Rs.977.50
"L.A. Girl HD Pro.Conceal -Classic Ivory,GC971",Rs.977.50
"L.A Girl- Pro Conceal HD Concealer- Orange Corrector, GC990",Rs.920.00
NYX Professional Makeup- Makeup Setting Spray - Matte,"Rs.1,072.80"
NYX Professional Makeup- Makeup Setting Spray - 02 Dewy Finish Long Lasting,"Rs.1,072.80"
L'Oréal Paris- The Foundation True Match D4-W4 Natural Golden 30ml,
"NYX Professional Makeup- Stay Matte but Not Flat Liquid Foundation, 08 Golden Beige",
Rimmel London- Match Perfection Foundation - TRUE BEIGE 034-203,"Rs.1,840.00"
"Bourjois- Eyes - Khol & Contour Brun Design,8049",
Rimmel London- Stay Matte Foundation- True Ivory 034-103,"Rs.1,445.00"
Makeup Revolution- Conceal and Define Concealer - C3,
"L'Oreal Paris- Infallible 24h Matte Foundation, 12 Natural Rose","Rs.3,329.10"
Maybelline New York- Fit Me Luminous + Smooth Foundation - 120 Classic Ivory,
"Maybelline New York- Fit Me Matte + Poreless Face Foundation - 30 ml, Natural Buff 230 Don't Use this product (bgww1355) use this",
Maybelline New York- Instant Age Rewind Eraser - Dark Cicles Concealer   Treatment - 110 Fair,"Rs.1,275.00"
NARS- Sheer Glow Foundation Salzburg ( 30ml ),"Rs.6,599.00"
Maybelline New York- Instant Age Rewind Eraser - Dark Cicles Concealer   Treatment - 150 Neutralizer,"Rs.1,275.00"
"Maybelline New York- Fit Me Foundation Matte  Poreless- 120 Classic Ivory, 30 ml",
"Sephora- Eye Makeup Remover, 25ml",Rs.249.00
"Maybelline New York- Fit Me Liquid Foundation Matte & Poreless Tube- 120 Classic Ivory, 18 ml",Rs.599.25
"Maybelline New York- Fit Me Matte & Poreless Face Foundation- 220 Natural Beige, 1.01 oz","Rs.1,199.25"
"Maybelline New York- Fit Me Liquid Foundation Matte & Poreless Tube, 115 Ivory, 18 ml",Rs.599.25
"Maybelline New York- Fit Me Blush, Pink, 0.16 fl. oz.",Rs.824.25
"Maybelline New York- Fit Me Matte + Poreless Face Foundation-, Ivory 115, 30 ml","Rs.1,199.25"
Maybelline New York- Fit Me Luminous + Smooth Foundation - 115 Ivory,
L'Oreal Paris- True Match Foundation - 3.D/3.W Golden Beige 30ml,
"Maybelline New York- Fit Me Matte Poreless Liquid Foundation, 115 Ivory, 30ml",Rs.899.44
Makeup Revolution- Gold Ingot Highlighter,
Makeup Obsession- Blush B110 Golden Girl,
Makeup Revolution- Fast Base Stick Foundation F6,
Makeup Revolution- Platinum Ingot Highlighter,
"L’Oreal Paris- Infallible 24H Matte Face Foundation - 1.18 oz., 10 Porcelain",
Makeup Revolution- Fast Base Stick Foundation F12,
Max Factor- Lasting Performance 102 Pastelle,"Rs.1,223.32"
"Wet n Wild- Photo Focus Setting Spray - Seal the Deal,E301A",Rs.880.00
"Wet n Wild- Photo Focus Liquid Foundation, Nude Ivory","Rs.1,280.00"
Huda Beauty- Custard 220N #FauxFilter Foundation( 35ml ),"Rs.6,799.00"
Huda Beauty- Angel Food 110N #FauxFilter Foundation( 35ml ),"Rs.6,799.00"
Huda Beauty- Toasted Coconut 240N #FauxFilter Foundation( 35ml ),"Rs.6,799.00"
Makeup Revolution- Matte Effect Concealer MC 09 Medium Dark,Rs.275.00
"L’Oreal Paris- True Match The One Concealer, 1.R/C Rose Ivory",
Buy One Blush Get a Bronzer Free,"Rs.1,200.00"
Huda Beauty- Chai 210B #FauxFilter Foundation( 35ml ),"Rs.6,799.00"
Buy One Blush Get a Bronzer Free,"Rs.1,200.00"
"Bourjois- Face - Blush Rose Frisson,8097",
NYX Professional Makeup- Highlight & Contour Pro Palette - 01,
"L'Oréal Paris- Infallible 24H Fresh Wear Liquid Foundation - 30 ml, 200 Golden Sand","Rs.2,080.69"
Makeup Obsession- Highlighter H111 Tropical ,
Makeup Obsession- Highlighter H110 Flame,
Makeup Obsession- Highlighter H108 Ice,
L'Oreal Paris-True Match Foundation - 4.N Beige 30 ml,"Rs.1,725.00"
Maybelline New York- Superstay 24H Full Coverage Liquid Foundation - 10 Ivory,"Rs.1,649.00"
Makeup Revolution- Fast Base Stick Foundation F4,
Makeup Obsession- Blush B111 Glow,
Makeup Revolution- Fast Base Stick Foundation F10,
Makeup Revolution- Fast Base Stick Foundation F9,
Makeup Revolution Conceal & Define Foundation F9,
Makeup Obsession- Contour Powder C101 Fair,
Makeup Obsession- Blush B101 Nude,
Makeup Revolution Conceal & Define Foundation F10,
"L'Oreal Paris- True Match Liquid Foundation, 1c Rose Ivory",
"L'Oreal Paris- True Match Liquid Foundation, 4n Beige",
"L'Oreal Paris- Infallible 24H Fresh Wear Liquid Foundation, 120 Vanilla 30ml",
"L'Oreal Paris- Infallible Total Cover Foundation,10 Porcelain",
"L'Oreal Paris- Infallible 24h Matte Foundation, 13 Rose Beige","Rs.2,775.00"
Bh Cosmetics- Blacklight Highlight - 6 Color Palette,"Rs.1,999.99"
"L'Oreal Paris- True Match Liquid Foundation, 3c Rose Beige",
L'Oreal Paris- True Match Liquid Foundation - 1n Ivory,"Rs.2,549.00"
"NYX Professional Makeup- HD Studio Concealer Wand, 05 Medium",
"Coty Airspun- Loose Face Powder, 032 Honey Beige","Rs.1,779.00"
L.A Girl- Pro Conceal HD Concealer Toast GC981,Rs.799.00
Buy One Blush Get a Bronzer Free,"Rs.1,200.00"
Buy One Blush Get a Bronzer Free,"Rs.1,200.00"
Buy One Blush Get a Bronzer Free,"Rs.1,200.00"
Buy One Blush Get a Bronzer Free,"Rs.1,200.00"
Buy One Blush Get a Bronzer Free,"Rs.1,200.00"
Buy One Blush Get a Bronzer Free,"Rs.1,200.00"
"Wet n Wild-COLOR ICON BRONZER - Ticket To Brazil, E740A",
"Max Factor- Pan Stick Foundation, 25 Fair, 9 g",Rs.799.00
Rimmel London- Foundation New Launch Stay Matt Light Ivory (034 091),"Rs.1,445.00"
"Lakme- Perfecting Liquid Foundation- Marble, 27ml (10165)",Rs.374.25
"L.A Girl- PRO. Contour Cream - Light, GCC634",
"NYX Professional Makeup- Stay Matte but Not Flat Liquid Foundation, 05 Soft Beige","Rs.1,012.80"
Color Studio- Matte Perfection Foundation Compact - Biege,
"NYX Professional Makeup- Stay Matte but Not Flat Liquid Foundation, 04 Creamy Natural",
"NYX Professional Makeup- Stay Matte but Not Flat Liquid Foundation, 02 Nude",
NYX Professional Makeup- Sculpt & Highlight Face Duo - 02 Almond/Light,
NYX Professional Makeup- Wonder Stick Highlight & Contour - 01 Light,
"L.A Girl- Pro Conceal HD Concealer, Yellow Corrector GC991",Rs.920.00
L.A. Girl- Pro Conceal HD GC974 - Nude,Rs.799.00
"L.A. Girl HD Pro .Conceal Porcelain,GC969",Rs.920.00
"L'Oreal Paris- True Match Liquid Foundation, 3w Golden Beige","Rs.2,549.25"
Buy One Blush Get a Bronzer Free,"Rs.1,200.00"
L'Oreal Paris- Infallible Concealer Pomade - 02 Medium,
"NYX Professional Makeup- Stay Matte but Not Flat Liquid Foundation, SMF 19 Cocoa",
"L'Oreal Paris- Infallible 24H Fresh Wear Liquid Foundation, 140 Golden Beige 30ml",
"L'Oreal Paris- True Match Liquid Foundation, 5W Golden Sand","Rs.2,549.25"
Maybelline New York- Total Temptation Eyeshadow & Highlighter Palette,
L'Oreal Paris- True Match Concealer - 6D/W Golden Honey,
"L'Oreal Paris- Infallible 24H Fresh Wear Liquid Foundation, 015 Porcelain , 30ml",
"L'Oreal Paris- True Match Liquid Foundation, 2c Rose Vanilla",
Rimmel London- Lasting Finish Foundation True Nude 034-303,"Rs.1,440.00"
"Kiko Milano- Pure Clean Wipes Mini A Travel-Size Package Containing 10 Make-Up Remover Wipes For The Face, Eyes And Lips,",Rs.699.00
L'Oreal Paris- True Match Concealer - 3D/W Beige Dore,
L'Oreal Paris- La Vie En Glow Highlighting Powder Palette - 01 Warm Glow,
Maybelline New York- Fit Me Luminous + Smooth Foundation - 130 Buff Beige,"Rs.1,199.25"
"L'Oreal Paris- True Match Liquid Foundation, 6N Honey","Rs.2,549.00"
Garnier- Micellar Sachet Sample,Rs.75.00
Makeup Obsession- Contour Cream- C110 Dark,Rs.500.00
"L.A. Girl Velvet Contour Sticks -Blush  Dreamy,GCS585",Rs.800.00
"NYX Professional Makeup- Stay Matte but Not Flat Liquid Foundation, 16 Porcelain",
"L'Oreal Paris- Infallible 24h Matte Foundation, 24 Beige Dore","Rs.3,329.10"
"Bourjois- Lips - Contour Edition T05 Berry much,8162",Rs.799.20
"Maybelline New York- Fit Me Blush, Rose, 0.16 fl. oz.",
"Maybelline New York- Fit Me Blush, Peach, 0.16 fl. oz.",Rs.824.25
"Maybelline New York- Fit Me Foundation - 30 ml, 120 Classic Ivory",
"L'Oreal Paris- True Match Foundation - 3.R/3.C Rose Beige, 30 ml",
L.A Girl-  Pro Conceal HD Concealer Creamy Beige GC973,Rs.920.00
Maybelline New York- Master Strobing Liquid Illuminating Highlighter- Nude18ml,"Rs.1,049.25"
"Maybelline New York- Fit Me Blush, Nude, 0.16 fl. oz.",
"Maybelline New York- Master Strobing Liquid Illuminating Highlighter Pink,18ml","Rs.1,049.25"
L.A Girl- Pro Conceal HD Concealer Natural GC972,Rs.920.00
"L.A Girl- Just Blushing - Just Peachy, GBL484",
Maybelline New York- Facestudio Strobing Stick Illuminating Highlighter - Nude,
Maybelline New York- Master Bronze Color and Highlighting Kit,
Maybelline New York- Face Studio Master Chrome Metallic Highlighter - 200 Molten Bronze,
"Maybelline New York- Fit Me Eye Concealer - 0.23 oz., 25 Medium",Rs.786.94
"L'Oreal Paris- Infallible 24H Fresh Wear Liquid Foundation, 130 True Beige 30ml","Rs.2,774.25"
L.A Girl- Pro Conceal HD Concealer Peach Corrector L.AGPC-GC994,Rs.799.00
Buy One Blush Get a Bronzer Free,"Rs.1,200.00"
L.A Girl- Pro Conceal HD Concealer Beautiful Bronze GC987,Rs.799.00
L'Oreal Paris-  Infallible Total Cover Foundation 32 Amber 35 g,
Freedom Makeup- Makeup London Pro Highlight Palette,"Rs.1,926.00"
Maybelline New York- Fit Me Liquid Foundation Matte & Poreless- 110 Porcelain,Rs.899.44
Wet n Wild- Photo Focus Matte Setting Spray - Matte Appeal,
"Maybelline New York- Fit Me Blush, Wine, 0.16 fl. oz.",
Maybelline New York- Superstay 24H Full Coverage Liquid Foundation 21 Nude Beige,
"Benefit- Gimme Mini Hoola Powder, Tan","Rs.1,800.00"
"Maybelline New York- Fit Me Blush, Coral, 0.16 fl. oz.",
NYX Professional Makeup- Stay Matte But Not Flat Powder Foundation - 05 Soft Beige,
"Wet N Wild Color Icon Blush-Pearlescent Pink, E3252",Rs.578.00
"Wet n Wild- CoverAll Concealer Palette, E61462",
Wet n Wild- E371C Photo Focus Foundation - Classic Beige,
"Tarte- Amazonian clay waterproof bronzer- Park Ave Princess™,3 g",Rs.999.00
"Wet n Wild-  Photo Focus Concealer - Medium Tawny, E842B",
"Laura Mercier- Translucent Loose Setting Powder Glow, Translucent","Rs.1,200.00"
"Wet n Wild- E3272 Color Icon Blush - Apri-Cot in the Middle, E3272",
"Wet N Wild- Color Icon Blush - Mellow Wine, E3282",
"Becca- Shimmering Skin Perfector Pressed Highlighter, Champagne Pop,2.4g","Rs.1,999.00"
"NYX Professional Makeup- HD Studio Concealer Wand, 02 Fair",
Maybelline New York- PUMA X Maybelline Chrome Highlighter 08 Knockout,
"NYX Professional Makeup- HD Studio Concealer Wand, 03 Light",
L'Oreal Paris- True Match Concealer - 3N Beige Cream,
E.l.f- Perfect Blend Concealer Light Beige,"Rs.1,111.00"
Wet N Wild Color Icon Blush-Keep It Peachy,
"L'Oreal Paris- True Match Foundation For Women, 2.N Vanilla- 30 ml",
NYX Professional Makeup- HD Studio Concealer Wand- 04 Beige,
L'Oreal Paris- Infallible More Than Concealer 327 Cashmere,
"L.A Girl-  Beauty Brick Blush Collection - Glow, GBL571",
Rimmel- Stay Matte Liquid Lip Colour 110 Blush,"Rs.1,090.00"
"NYX Professional Makeup- HD Studio Concealer Wand, 01 Porcelain",
Wet n Wild- E368C Photo Focus Foundation - Golden Beige,
Maybelline New York- Fit Me Liquid Foundation 220 Natural Beige,
"Wet n Wild- Photo Focus Liquid Foundation, Cream Beige",
NYX Professional Makeup- Stay Matte But Not Flat Powder Foundation - 03 Natural,
Maybelline New York- Fit Me Liquid Foundation- 125 Nude Beige,
"L.A. Girl Velvet Contour Sticks -Bronzer Goddess,GCS595",
"NYX Professional Makeup- Stay Matte but Not Flat Liquid Foundation, 01 Ivory",
Makeup Revolution Conceal & Define Foundation F4,
L'Oreal Paris- Infallible More Than Concealer 329 Cashew,"Rs.1,377.00"
"NYX Professional Makeup- HD Studio Concealer Wand, 07 Tan",
Too Faced- Chocolate Soleil Bronzer+ Highlighter in Angel Wings,"Rs.1,370.00"
Rimmel London- Lasting Finish Foundation- Soft Beige 034-200,
"Wet n Wild- MegaGlo Contouring Palette - Caramel Toffee, E7501",
"L.A Girl-  Beauty Brick Blush Collection - Spice, GBL573",
Buy One Blush Get a Bronzer Free,"Rs.1,200.00"
E.l.f- Glow Highlighter,Rs.799.00
"Wet n Wild- Photo Focus Liquid Foundation, Porcelain",
"L'Oreal Paris- True Match Foundation 1.R/1.C Rose Ivory, 30 ml",
"NYX Professional Makeup- High Definition Blush, 09 Bitten",
"L'Oreal Paris- Visible Lift Foundation, 201 Light Ivory, 40 ml",
"Wet n Wild- MegaGlo Contouring Palette - Dulce De Leche, E7491",
Maybelline New York- Fit Me Liquid Foundation Matte & Poreless - 130 Buff Beige,"Rs.1,199.25"
"NYX Professional Makeup- Stay Matte but Not Flat Liquid Foundation, 03 Natural","Rs.1,012.80"
Benefit- Dandelion Shy Beam Matte Highlighter Mini,Rs.999.00
Smashbox- Highlighter/ Contour Palette,"Rs.2,530.00"
Lakme- Perfect Finish Pearl Foundation 27Ml (10166),Rs.749.25
"L'Oreal Paris- Infallible Shaping Stick Foundation,130 Vanilla",
"L.A. Girl Velvet Contour Sticks -Blush Crushed Berry,GCS593",
"L'Oreal Paris- Infallible Shaping Stick Foundation, 160 Sand",
"Bourjois- Healthy Mix Foundation 30Ml - Beige 54,8459","Rs.2,639.00"
"L'Oréal Paris- Infallible Stay Fresh 24H Foundation - 150 Beige, 30 ml",
E.l.f- Sunkissed Bronzer,
Buy One Blush Get a Bronzer Free,"Rs.1,200.00"
Wet n Wild- MegaGlo Highlighting Powder - Awesome Blossom,
Benefit- Sun Beam Golden Highlighter Mini,
BOBBI BROWN- Bronzing Powder Medium,Rs.900.00
E.l.f- Shy Highlighter,Rs.111.00
"Bourjois- Face - Blush Rose Ambre,8099","Rs.1,870.00"
"L'Oreal Paris Visible Lift Blur Foundation, 202 Classic Ivory",
E.l.f- White Pearl Highlighter,Rs.935.00
Wet N Wild- Photo Focus Stick Foundation- Vanilla Beige,
"L.A Girl- Illuminating Blush - Bashful, Blushing, GBL554",
Wet N Wild- Photo Focus Stick Foundation- Porcelain,
"Max Factor- lasting Performance Foundation , Soft Beige 105","Rs.2,124.15"
Wet N Wild- Photo Focus Stick Foundation- Buff Beige,
"NYX Professional Makeup- Hd Photogenic Concealer Wand, 7 Tan",
NYX Professional Makeup- Away We Glow Liquid Highlighter State Of Flux-AWG02,
"L.A. Girl Velvet Contour Sticks -Blush Pompom,GCS588",
"L.A Girl-  Beauty Brick Blush Collection - Pink, GBL572",
Buy One Blush Get a Bronzer Free,"Rs.1,200.00"
Maybelline New York- Face Studio Master Blush - 70 Rose Madison,
Maybelline New York- Fit Me Dewy Plus Smooth Foundation 240 Golden Beige 30ml,
"NYX Professional Makeup- HD Studio Concealer Wand, 06 Glow",
"NYX Professional Makeup- HD Studio Concealer Wand, 08 Nutmeg",
"Wet n Wild- Photo Focus Liquid Foundation, Peach Natural",
"E.l.f.- 81501 Studio Under Eye Concealer & Highlight - Fair/Glow, .4 fl. oz","Rs.1,111.00"
"NYX Professional Makeup- Wonder Stick Highlight & Contour, 02 Medium",
"L'Oreal Paris- Cosmetics X Camila Cabello Havana Sun-lit Liquid Bronzer, Medium-Deep, 1.35 Fluid Ounce",
Maybelline New York- Dream Brightening Creamy Concealer - 20 Light,
"Wet n Wild- Mega Cushion Contour, 105A Café Au Slay, 7g",
L'Oreal Paris- Infallible Concealer 04 Beige Dore,
"L'Oreal Paris- Eye & Lip Make Up Remover, 125ml",
Wet N Wild- Photo Focus Stick Foundation- Shell Ivory,
"Wet n Wild- Photo Focus Liquid Foundation, Bronze Beige",
"Maybelline New York- Master Prime Hydration Face Foundation Primer- 30 ml, Transparent 50",
Wet N Wild- Photo Focus Stick Foundation- Soft Beige,
"Maybelline New York- Dream Brightening Creamy Concealer, 30 Light/Medium, 0.11 oz.",
Maybelline New York- Dream Satin Liquid Foundation - 21 Nude Beige,
Maybelline New York- Blush Bronzer Expertwear 10 Sunlight,
"E.l.f- Blush Brick Red, 5.0g",Rs.850.00
